YEAR,MONTH,DAY,STID,TMAX,TMIN,TAVG,RAIN,,sum
2010,8,1,NRMN,101.16,76.77,89.51,0,,
2010,8,2,NRMN,100.9,76.42,88.73,0,,
2010,8,3,NRMN,99.01,76.05,87.74,0,,
2010,8,4,NRMN,99.95,75.45,88.36,0,,
2010,8,5,NRMN,90.55,77.23,83.94,0,,
2010,8,6,NRMN,92.97,71.47,83.11,0,,
2010,8,7,NRMN,95.95,75.36,85.74,0,,
2010,8,8,NRMN,100.08,77.41,87.91,0,,
2010,8,9,NRMN,99.3,77.07,87.05,0,,
2010,8,10,NRMN,99.23,76.62,87.59,0,,
2010,8,11,NRMN,100.13,76.28,88.82,0,,
2010,8,12,NRMN,101.16,77.67,89.92,0,,
2010,8,13,NRMN,102.15,80.13,90.92,0,,
2010,8,14,NRMN,102.09,78.35,90.13,0,,
2010,8,15,NRMN,99,74.86,84.85,0,,
2010,8,16,NRMN,93.29,72.61,82.44,0,,
2010,8,17,NRMN,90.09,76.51,82.16,0.08,,
2010,8,18,NRMN,92.28,72.34,81.05,0,,
2010,8,19,NRMN,97.74,70.39,84.72,0,,
2010,8,20,NRMN,100.96,78.53,89.3,0,,
2010,8,21,NRMN,100.92,77.9,87.3,0.01,,
2010,8,22,NRMN,99.39,74.66,86.59,0,,
2010,8,23,NRMN,101.17,74.71,87.64,0,,
2010,8,24,NRMN,83.28,71.6,76.4,0.57,,
2010,8,25,NRMN,83.75,64.35,73.03,0,,
2010,8,26,NRMN,86.45,56.68,72.32,0,,
2010,8,27,NRMN,90.36,57.11,75.75,0,,
2010,8,28,NRMN,91.85,65.03,78.82,0,,
2010,8,29,NRMN,93.58,73.29,82.46,0,,
2010,8,30,NRMN,91.09,73.6,82.04,0,,
2010,8,31,NRMN,96.33,75.76,81.75,0.06,,
