YEAR,MONTH,DAY,STID,TMAX,TMIN,TAVG,RAIN,
2011,8,1,NRMN,107.73,81.95,95.35,0,0
2011,8,2,NRMN,109.94,81.77,96.59,0,0
2011,8,3,NRMN,109.58,85.59,94.41,0,0
2011,8,4,NRMN,108.5,80.8,93.9,0,0
2011,8,5,NRMN,109.58,83.3,97.43,0,0
2011,8,6,NRMN,109,81.09,93.78,0,0
2011,8,7,NRMN,96.85,81.45,89.06,0.02,
2011,8,8,NRMN,107.65,79.2,94.01,0.04,
2011,8,9,NRMN,102.83,71.58,87.52,0.16,
2011,8,10,NRMN,99.88,70.88,82.5,0.21,
2011,8,11,NRMN,82.09,67.48,73.46,0.73,
2011,8,12,NRMN,100.51,71.1,82.73,0.07,
2011,8,13,NRMN,92.82,68.61,80.7,0.79,
2011,8,14,NRMN,94.78,72,83.87,0,0
2011,8,15,NRMN,99.41,73.76,86.35,0,0
2011,8,16,NRMN,102.52,81.3,90.09,0,0
2011,8,17,NRMN,96.53,78.84,86.77,0.04,
2011,8,18,NRMN,102.42,77.23,89.74,0,0
2011,8,19,NRMN,103.98,75.97,90.7,0,0
2011,8,20,NRMN,103.39,77.92,90.81,0,0
2011,8,21,NRMN,97.99,79.74,85.84,0,0
2011,8,22,NRMN,102.29,78.21,89.13,0,0
2011,8,23,NRMN,104.38,78.55,91.72,0,0
2011,8,24,NRMN,107.92,79.05,92.9,0,0
2011,8,25,NRMN,98.1,74.07,85.52,0,0
2011,8,26,NRMN,102.78,67.32,85.77,0,0
2011,8,27,NRMN,105.3,72.77,89.84,0,0
2011,8,28,NRMN,106.21,79.16,92.36,0,0
2011,8,29,NRMN,98.78,77.34,88.95,0,0
2011,8,30,NRMN,102.4,80.29,90.44,0,0
2011,8,31,NRMN,103.89,82.85,92.43,0,0
