"YEAR","MONTH","DAY","STID","TMAX","TMIN","TAVG","RAIN"
2012,8,1,NRMN,111.40,81.46,96.61,0.00
2012,8,2,NRMN,111.20,84.56,97.30,0.00
2012,8,3,NRMN,110.86,84.06,96.31,0.00
2012,8,4,NRMN,106.72,82.11,94.00,0.00
2012,8,5,NRMN,99.00,77.11,87.46,0.00
2012,8,6,NRMN,103.87,76.26,90.21,0.00
2012,8,7,NRMN,105.42,78.87,87.07,0.04
2012,8,8,NRMN,100.80,74.03,86.85,0.00
2012,8,9,NRMN,103.17,73.04,87.58,0.00
2012,8,10,NRMN,94.80,69.37,82.46,0.00
2012,8,11,NRMN,95.95,62.60,81.21,0.00
2012,8,12,NRMN,100.44,71.06,86.17,0.02
2012,8,13,NRMN,93.52,65.41,80.88,0.00
2012,8,14,NRMN,93.02,67.78,79.30,0.00
2012,8,15,NRMN,96.94,71.56,82.88,0.00
2012,8,16,NRMN,95.38,75.16,83.67,0.26
2012,8,17,NRMN,90.39,67.57,78.36,0.00
2012,8,18,NRMN,78.94,64.51,70.32,1.14
2012,8,19,NRMN,85.01,61.77,72.88,0.00
2012,8,20,NRMN,89.20,59.27,76.12,0.00
2012,8,21,NRMN,88.36,66.90,77.90,0.00
2012,8,22,NRMN,89.74,62.31,76.95,0.00
2012,8,23,NRMN,88.23,70.38,79.34,0.00
2012,8,24,NRMN,89.64,72.88,81.07,0.00
2012,8,25,NRMN,93.38,69.46,81.34,1.52
2012,8,26,NRMN,90.30,69.66,78.29,0.16
2012,8,27,NRMN,91.63,69.76,80.64,0.00
2012,8,28,NRMN,91.29,68.50,79.85,0.00
2012,8,29,NRMN,92.28,62.64,77.96,0.00
2012,8,30,NRMN,93.90,63.64,80.27,0.00
2012,8,31,NRMN,94.10,69.35,82.13,0.00
