YEAR,MONTH,DAY,STID,TMAX,TMIN,TAVG,RAIN
2013,8,1,NRMN,90.21,71.24,81.54,0
2013,8,2,NRMN,96.85,76.71,86.51,0
2013,8,3,NRMN,93.7,75.2,85.03,0
2013,8,4,NRMN,93.6,77.22,84.73,0
2013,8,5,NRMN,96.06,76.59,86.68,0
2013,8,6,NRMN,97.41,77.29,87.68,0
2013,8,7,NRMN,92.03,73.71,84.71,0
2013,8,8,NRMN,88.34,69.96,78.83,0.53
2013,8,9,NRMN,86.47,69.91,76.61,0.67
2013,8,10,NRMN,82.56,67.1,74.76,0
2013,8,11,NRMN,90.34,67.03,79.44,0
2013,8,12,NRMN,92.46,74.86,82.33,0
2013,8,13,NRMN,82.38,69.15,74.89,0.99
2013,8,14,NRMN,83.21,67.69,74.54,0.01
2013,8,15,NRMN,82.67,64.78,73.89,0.14
2013,8,16,NRMN,80.11,62.87,70.72,0.39
2013,8,17,NRMN,80.65,63.34,72.4,0
2013,8,18,NRMN,82.87,63.61,73.73,0
2013,8,19,NRMN,87.62,66.65,76.92,0
2013,8,20,NRMN,91.44,68.05,79.22,0
2013,8,21,NRMN,91.89,69.64,80.15,0
2013,8,22,NRMN,92.28,69.31,80.99,0
2013,8,23,NRMN,94.73,74.52,82.11,0
2013,8,24,NRMN,93.43,73.83,82.7,0
2013,8,25,NRMN,92.41,73.92,83.01,0
2013,8,26,NRMN,91.18,73.94,81.67,0
2013,8,27,NRMN,87.08,69.46,78.85,0
2013,8,28,NRMN,93.38,71.55,81.96,0
2013,8,29,NRMN,97.02,72.88,84.9,0
2013,8,30,NRMN,98.71,74.91,86.93,0
2013,8,31,NRMN,101.39,73.78,88.06,0
